Name,Position,Market_Value,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Gls (90),Ast (90),G+A (90),G-PK (90),G+A-PK (90)
Valentín Vada,Midfield,14000000.0,7.0,-1.0,-6.0,-107.0,-1.1999999999999993,-2.0,0.0,-2.0,-2.0,0.0,0.0,-3.0,0.0,18.0,-22.0,13.0,-0.21,0.0199999999999999,-0.19,-0.21,-0.19
Valon Behrami,Midfield,1000000.0,-1.0,8.0,7.0,783.0,8.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,37.0,65.0,45.0,-0.0199999999999999,0.12,0.11,-0.0199999999999999,0.11
Valter Birsa,Attack,-2000000.0,-8.0,-18.0,-27.0,-2127.0,-23.6,-3.0,-6.0,-9.0,-3.0,0.0,0.0,-1.0,0.0,-52.0,-150.0,-108.0,-0.11,-0.22,-0.32,-0.11,-0.32
Valère Germain,Attack,0.0,-3.0,-3.0,7.0,402.0,4.399999999999999,-4.0,-1.0,-5.0,-5.0,1.0,0.0,4.0,0.0,31.0,41.0,-56.0,-0.19,-0.0699999999999999,-0.2599999999999999,-0.2299999999999999,-0.2999999999999999
Vanja Milinković-Savić,Goalkeeper,8000000.0,8.0,35.0,35.0,3150.0,35.0,1.0,2.0,3.0,1.0,0.0,0.0,13.0,0.0,11.0,92.0,11.0,0.03,0.06,0.08,0.03,0.08
Vasco Regini,Defender,5200000.0,3.0,8.0,12.0,898.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-1.0,59.0,-5.0,0.0,0.0,0.0,0.0,0.0
Vicente Guaita,Goalkeeper,11000000.0,-3.0,-1.0,-1.0,-153.0,-1.6999999999999993,13.0,6.0,19.0,9.0,4.0,4.0,9.0,1.0,80.0,120.0,235.0,0.42,0.19,0.61,0.29,0.48
Vicente Iborra,Midfield,2000000.0,-7.0,15.0,17.0,1650.0,18.3,-2.0,0.0,-2.0,-2.0,0.0,0.0,4.0,0.0,27.0,17.0,2.0,-0.16,0.0,-0.16,-0.16,-0.16
Victor Lindelöf,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Moses,Midfield,-13500000.0,-3.0,-12.0,-11.0,-877.0,-9.7,-3.0,-3.0,-6.0,-3.0,0.0,0.0,0.0,0.0,-88.0,-11.0,-200.0,-0.13,-0.13,-0.26,-0.13,-0.26
Vincent Janssen,Attack,2000000.0,1.0,12.0,13.0,1169.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
Vincent Kompany,Defender,-8000000.0,-1.0,17.0,17.0,1630.0,18.1,-1.0,-1.0,-2.0,-1.0,0.0,0.0,6.0,1.0,15.0,33.0,5.0,-0.06,-0.06,-0.13,-0.06,-0.13
Vincenzo Grifo,Attack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virgil van Dijk,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitolo,Attack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitor Hugo,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Víctor Camarasa,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Víctor Laguardia,Defender,-6000000.0,9.0,-15.0,-15.0,-1350.0,-15.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,-3.0,0.0,-6.0,-44.0,0.0,-0.12,0.0,-0.12,-0.12,-0.12
Víctor Ruiz,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Víctor Sánchez,Midfield,14000000.0,-6.0,-1.0,-2.0,-97.0,-1.1000000000000014,4.0,-1.0,3.0,3.0,1.0,2.0,-11.0,1.0,8.0,96.0,-17.0,0.15,-0.03,0.12,0.11,0.0799999999999999
Wahbi Khazri,Attack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walace,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waldemar Anton,Defender,-5000000.0,2.0,0.0,0.0,-18.0,-0.1999999999999993,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,17.0,12.0,5.0,0.04,0.0,0.04,0.04,0.04
Wallace,Defender,17000000.0,4.0,11.0,-1.0,68.0,0.7000000000000011,6.0,3.0,9.0,6.0,0.0,0.0,-3.0,0.0,19.0,34.0,74.0,0.51,0.25,0.76,0.51,0.76
Walter Benítez,Goalkeeper,-4000000.0,4.0,3.0,0.0,13.0,0.1000000000000014,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,35.0,68.0,38.0,0.07,0.07,0.14,0.07,0.14
Wayne Hennessey,Goalkeeper,-3000000.0,-4.0,-10.0,-18.0,-1507.0,-16.7,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,12.0,17.0,63.0,0.2,0.0,0.2,0.1,0.1
Wendell,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wes Morgan,Defender,0.0,-10.0,-31.0,-32.0,-2804.0,-31.2,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,-13.0,-48.0,-11.0,0.0,0.0,0.0,0.0,0.0
Wesley Hoedt,Defender,-5000000.0,-3.0,-27.0,-28.0,-2515.0,-27.9,0.0,-1.0,-1.0,0.0,0.0,0.0,-7.0,0.0,-21.0,-142.0,0.0,0.0,-0.04,-0.04,0.0,-0.04
Wesley Lautoa,Defender,8000000.0,-1.0,27.0,29.0,2636.0,29.300000000000004,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,209.0,7.0,0.0,0.03,0.03,0.0,0.03
Wesley Saïd,Attack,6000000.0,7.0,5.0,14.0,1221.0,13.6,-9.0,-2.0,-11.0,-9.0,0.0,0.0,-3.0,0.0,-34.0,-45.0,-124.0,-0.44,-0.1,-0.54,-0.44,-0.54
Weston McKennie,Midfield,-5000000.0,6.0,8.0,15.0,1192.0,13.3,2.0,2.0,4.0,2.0,0.0,0.0,-1.0,0.0,64.0,40.0,126.0,0.07,0.07,0.15,0.07,0.15
Wilfried Kanga,Attack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Hughes,Midfield,-12500000.0,3.0,6.0,2.0,253.0,2.8000000000000007,1.0,-3.0,-2.0,0.0,1.0,1.0,3.0,0.0,-8.0,-46.0,32.0,0.04,-0.27,-0.23,-0.0399999999999999,-0.31
