,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1174,Vasilije Janjicic,ch SUI,MF,Hamburger SV,de Bundesliga,18,1998,7,3,320,3.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,20,3,0,0,0,0,0,0.02,0.04,0.05,0.02,0.05,Matches,8279c033
1175,Christoph Janker,de GER,DFMF,Augsburg,de Bundesliga,32,1985,5,0,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches,cf01fe3a
1176,Saidy Janko,gm GAM,DF,Saint-Étienne,fr Ligue 1,21,1995,21,16,1422,15.8,0,0,0,0,0,0,4,0,0.1,0.1,0.8,1,58,61,79,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06,Matches,689c9cf4
1177,Jakub Jankto,cz CZE,MFFW,Udinese,it Serie A,21,1996,36,28,2654,29.5,4,4,8,4,0,0,5,0,4.3,4.3,5.9,10.2,78,140,199,0.14,0.14,0.27,0.14,0.27,0.14,0.2,0.34,0.14,0.34,Matches,1ea5f91c
1178,Daryl Janmaat,nl NED,DF,Watford,eng Premier League,28,1989,23,21,1820,20.2,3,0,3,3,0,0,3,0,1.8,1.8,1,2.8,29,107,55,0.15,0,0.15,0.15,0.15,0.09,0.05,0.14,0.09,0.14,Matches,45da6694
1179,Vincent Janssen,nl NED,DF,Tottenham,eng Premier League,23,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,31dce0c8
1180,Tony Jantschke,de GER,DF,M'Gladbach,de Bundesliga,27,1990,13,8,727,8.1,0,1,1,0,0,0,2,0,0.1,0.1,0.1,0.2,14,33,18,0,0.12,0.12,0,0.12,0.01,0.02,0.03,0.01,0.03,Matches,34b54da7
1181,Adnan Januzaj,be BEL,FW,Real Sociedad,es La Liga,22,1995,28,18,1573,17.5,3,5,8,3,0,0,4,0,6.3,6.3,5.5,11.8,104,68,156,0.17,0.29,0.46,0.17,0.46,0.36,0.32,0.68,0.36,0.68,Matches,4737cebe
1182,Nicolas Janvier,fr FRA,MF,Rennes,fr Ligue 1,18,1998,3,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,Matches,22a62523
1183,Paweł Jaroszyński,pl POL,DF,Chievo,it Serie A,22,1994,11,9,809,9,0,0,0,0,0,0,3,0,0,0,0.3,0.4,15,24,32,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches,958a601f
1184,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,32,1984,31,31,2790,31,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,27d2618c
1185,Jason,es ESP,FWMF,Levante,es La Liga,23,1994,27,22,1786,19.8,1,2,3,1,0,0,2,0,2.6,2.6,2.7,5.3,48,55,137,0.05,0.1,0.15,0.05,0.15,0.13,0.14,0.27,0.13,0.27,Matches,9038c2a1
1186,Bakery Jatta,gm GAM,MFFW,Hamburger SV,de Bundesliga,19,1998,10,3,297,3.3,0,1,1,0,0,0,1,0,0.9,0.9,0.1,1,11,5,31,0,0.3,0.3,0,0.3,0.27,0.04,0.31,0.27,0.31,Matches,34c313d5
1187,Corentin Jean,fr FRA,FWMF,Toulouse,fr Ligue 1,22,1995,33,18,1688,18.8,1,2,3,1,0,0,3,0,2,2,2.8,4.7,53,41,150,0.05,0.11,0.16,0.05,0.16,0.11,0.15,0.25,0.11,0.25,Matches,7d9b37bf
1188,Benjamin Jeannot,fr FRA,FW,Dijon,fr Ligue 1,25,1992,24,14,1407,15.6,4,1,5,4,0,0,4,0,3.4,3.4,1.5,4.9,11,34,81,0.26,0.06,0.32,0.26,0.32,0.22,0.1,0.31,0.22,0.31,Matches,2e52206e
1189,Tin Jedvaj,hr CRO,DF,Leverkusen,de Bundesliga,21,1995,10,6,599,6.7,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,12,40,8,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches,f820504e
1190,Jemerson,br BRA,DF,Monaco,fr Ligue 1,24,1992,33,33,2855,31.7,2,0,2,2,0,0,7,1,1.9,1.9,0.2,2.1,9,59,1,0.06,0,0.06,0.06,0.06,0.06,0.01,0.07,0.06,0.07,Matches,7cab69b5
1191,Jesé,es ESP,FWMF,Stoke City,eng Premier League,24,1993,13,8,614,6.8,1,1,2,1,0,0,0,0,0.9,0.9,0.7,1.6,19,14,51,0.15,0.15,0.29,0.15,0.29,0.13,0.1,0.23,0.13,0.23,Matches,4a537185
1192,Gabriel Jesus,br BRA,FW,Manchester City,eng Premier League,20,1997,29,19,1668,18.5,13,3,16,13,0,2,6,0,13.8,12.2,2.1,14.3,28,49,181,0.7,0.16,0.86,0.7,0.86,0.74,0.11,0.86,0.66,0.77,Matches,b66315ae
1193,Juan Jesus,br BRA,DF,Roma,it Serie A,26,1991,22,18,1658,18.4,0,0,0,0,0,0,4,1,0.5,0.5,0.2,0.6,7,73,7,0,0,0,0,0,0.03,0.01,0.03,0.03,0.03,Matches,79083382
1194,Álvaro Jiménez,es ESP,MFFW,Getafe,es La Liga,22,1995,13,5,529,5.9,1,1,2,1,0,0,4,1,0.5,0.5,0.7,1.2,18,17,40,0.17,0.17,0.34,0.17,0.34,0.09,0.12,0.2,0.09,0.2,Matches,5f5501ed
1195,Joaquín,es ESP,MFFW,Betis,es La Liga,36,1981,35,29,2479,27.5,4,7,11,4,0,0,7,0,3.8,3.8,6.2,10,88,138,183,0.15,0.25,0.4,0.15,0.4,0.14,0.22,0.36,0.14,0.36,Matches,4c5b14d2
1196,Aron Jóhannsson,us USA,MFFW,Werder Bremen,de Bundesliga,26,1990,12,2,276,3.1,1,0,1,1,0,0,0,0,1.5,1.5,1,2.4,5,13,24,0.33,0,0.33,0.33,0.33,0.47,0.32,0.79,0.47,0.79,Matches,c0dc9fc7
1197,Fabian Johnson,us USA,MFDF,M'Gladbach,de Bundesliga,29,1987,10,5,465,5.2,1,0,1,1,0,0,0,0,1,1,0.7,1.7,5,8,15,0.19,0,0.19,0.19,0.19,0.19,0.14,0.33,0.19,0.33,Matches,76e5da9d
1198,Glen Johnson,eng ENG,DF,Stoke City,eng Premier League,32,1984,9,7,547,6.1,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,5,23,9,0,0,0,0,0,0.01,0.03,0.05,0.01,0.05,Matches,8cceca90
1199,Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,27,1990,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a56bd2ee
1200,Miloš Jojić,rs SRB,MF,Köln,de Bundesliga,25,1992,25,17,1459,16.2,2,5,7,2,0,0,3,0,2.7,2.7,6.2,8.9,34,72,76,0.12,0.31,0.43,0.12,0.43,0.16,0.39,0.55,0.16,0.55,Matches,fb59286d
1201,Jonathas,br BRA,FW,Hannover 96,de Bundesliga,28,1989,12,7,634,7,3,3,6,2,1,1,2,0,2.9,2.1,1.6,3.7,8,11,34,0.43,0.43,0.85,0.28,0.71,0.41,0.23,0.64,0.29,0.53,Matches,531807b3
1202,Phil Jones,eng ENG,DF,Manchester Utd,eng Premier League,25,1992,23,23,1973,21.9,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,13,45,0,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02,Matches,def899bd
1203,Nigel de Jong,nl NED,MF,Mainz 05,de Bundesliga,32,1984,11,10,737,8.2,0,0,0,0,0,0,2,0,0,0,0.2,0.2,0,32,2,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches,a0e209bc
1204,Jony,es ESP,FWMF,Málaga,es La Liga,26,1991,5,1,217,2.4,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.5,11,10,29,0,0,0,0,0,0.12,0.11,0.23,0.12,0.23,Matches,244f57b9
1205,Joan Jordán,es ESP,MF,Eibar,es La Liga,23,1994,35,25,2427,27,6,4,10,5,1,2,2,1,4.1,2.6,3.1,5.7,42,130,109,0.22,0.15,0.37,0.19,0.33,0.15,0.12,0.27,0.1,0.21,Matches,2a0c8ba4
1206,Jorge,br BRA,DF,Monaco,fr Ligue 1,21,1996,22,22,1920,21.3,1,2,3,1,0,0,8,0,0.2,0.2,1.9,2.1,60,84,115,0.05,0.09,0.14,0.05,0.14,0.01,0.09,0.1,0.01,0.1,Matches,13c44fc5
1207,Jorginho,it ITA,MF,Napoli,it Serie A,25,1991,33,33,2650,29.4,2,3,5,1,1,2,5,0,2.1,0.4,4.1,4.6,36,398,32,0.07,0.1,0.17,0.03,0.14,0.07,0.14,0.21,0.01,0.16,Matches,45db685d
1208,Willian José,br BRA,FW,Real Sociedad,es La Liga,25,1991,34,32,2770,30.8,15,4,19,12,3,4,4,0,11.1,7.9,4.6,12.5,22,59,175,0.49,0.13,0.62,0.39,0.52,0.36,0.15,0.51,0.26,0.41,Matches,d87e2cae
1209,Joselu,es ESP,FW,Newcastle Utd,eng Premier League,27,1990,30,19,1712,19,4,1,5,4,0,1,2,0,6,5.2,1.2,6.4,5,41,107,0.21,0.05,0.26,0.21,0.26,0.31,0.06,0.38,0.27,0.34,Matches,6265208f
1210,Yann Jouffre,fr FRA,FWMF,Metz,fr Ligue 1,33,1984,4,3,275,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.5,4,18,23,0,0,0,0,0,0.02,0.15,0.17,0.02,0.17,Matches,5d66c10d
1211,Vukašin Jovanović,rs SRB,DF,Bordeaux,fr Ligue 1,21,1996,16,16,1440,16,0,0,0,0,0,0,4,0,0.3,0.3,0.1,0.4,15,51,1,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches,0eb03d5b
1212,Stevan Jovetić,me MNE,FW,Monaco,fr Ligue 1,27,1989,15,7,753,8.4,8,1,9,8,0,0,1,0,5.4,5.4,0.4,5.8,19,32,62,0.96,0.12,1.08,0.96,1.08,0.65,0.05,0.7,0.65,0.7,Matches,f36c432f
1213,Luka Jović,rs SRB,FW,Eint Frankfurt,de Bundesliga,19,1997,22,9,936,10.4,8,1,9,8,0,0,2,0,8.1,8.1,1.3,9.4,8,13,71,0.77,0.1,0.87,0.77,0.87,0.78,0.12,0.9,0.78,0.9,Matches,4d8cd038
1214,Jozabed,es ESP,MF,Celta Vigo,es La Liga,26,1991,24,18,1473,16.4,0,4,4,0,0,0,7,0,1.7,1.7,2.4,4.2,24,111,60,0,0.24,0.24,0,0.24,0.11,0.15,0.26,0.11,0.26,Matches,9b337c7c
1215,Juanfran,es ESP,DF,La Coruña,es La Liga,28,1988,35,34,3057,34,0,1,1,0,0,0,3,0,1.3,1.3,3.9,5.2,96,157,164,0,0.03,0.03,0,0.03,0.04,0.11,0.15,0.04,0.15,Matches,9ba48d64
1216,Juanfran,es ESP,DF,Atlético Madrid,es La Liga,32,1985,17,15,1307,14.5,0,1,1,0,0,0,3,0,0.1,0.1,1.8,1.8,33,44,83,0,0.07,0.07,0,0.07,0.01,0.12,0.13,0.01,0.13,Matches,cfd8d664
1217,Juankar,es ESP,DF,Málaga,es La Liga,27,1990,10,9,784,8.7,0,0,0,0,0,0,2,0,0,0,0.6,0.6,16,32,29,0,0,0,0,0,0.01,0.07,0.07,0.01,0.07,Matches,e9a12436
1218,Juanmi,es ESP,FWMF,Real Sociedad,es La Liga,24,1993,30,18,1489,16.5,8,2,10,8,0,0,3,0,5.2,5.2,0.8,6,21,15,100,0.48,0.12,0.6,0.48,0.6,0.31,0.05,0.36,0.31,0.36,Matches,84399660
1219,Juanpe,es ESP,DF,Girona,es La Liga,26,1991,35,34,3065,34.1,5,1,6,5,0,0,7,0,2.1,2.1,0.9,3,3,103,4,0.15,0.03,0.18,0.15,0.18,0.06,0.03,0.09,0.06,0.09,Matches,1633fc8a
1220,Juanpi,ve VEN,MFFW,Málaga,es La Liga,23,1994,16,5,610,6.8,0,2,2,0,0,0,1,0,0.8,0.8,1.4,2.2,11,26,34,0,0.3,0.3,0,0.3,0.11,0.21,0.32,0.11,0.32,Matches,d79afcfc
1221,Mariano Julio Izco,ar ARG,MF,Crotone,it Serie A,34,1983,5,2,178,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,0,0,0,0,0,0,0,0,0,Matches,0d2bdb4b
1222,Christopher Jullien,fr FRA,DF,Toulouse,fr Ligue 1,24,1993,30,30,2605,28.9,1,2,3,1,0,0,7,0,3,3,0.7,3.7,8,103,10,0.03,0.07,0.1,0.03,0.1,0.1,0.02,0.13,0.1,0.13,Matches,f323d995
1223,David Juncà,es ESP,DF,Eibar,es La Liga,23,1993,15,10,901,10,0,2,2,0,0,0,3,0,0.1,0.1,1.6,1.7,27,61,36,0,0.2,0.2,0,0.2,0.01,0.16,0.17,0.01,0.17,Matches,de7d40d6
1224,Gideon Jung,de GER,MFDF,Hamburger SV,de Bundesliga,22,1994,30,29,2570,28.6,1,1,2,1,0,0,7,1,0.4,0.4,1.1,1.6,19,110,27,0.04,0.04,0.07,0.04,0.07,0.01,0.04,0.05,0.01,0.05,Matches,a2e7de6f
1225,Sebastian Jung,de GER,DF,Wolfsburg,de Bundesliga,27,1990,2,1,78,0.9,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,Matches,86b30561
1226,Zlatko Junuzović,at AUT,MFFW,Werder Bremen,de Bundesliga,29,1987,24,17,1633,18.1,2,4,6,2,0,0,2,0,3.8,3.8,3.5,7.3,35,118,141,0.11,0.22,0.33,0.11,0.33,0.21,0.19,0.4,0.21,0.4,Matches,dba67bc4
1227,Mathias Jørgensen,dk DEN,DF,Huddersfield,eng Premier League,27,1990,38,38,3420,38,0,2,2,0,0,0,6,0,1.9,1.9,0.9,2.9,21,120,8,0,0.05,0.05,0,0.05,0.05,0.02,0.08,0.05,0.08,Matches,0db5d2c8
1228,Christian Kabasele,be BEL,DF,Watford,eng Premier League,26,1991,28,27,2330,25.9,2,0,2,2,0,0,5,0,0.7,0.7,0.1,0.9,10,74,7,0.08,0,0.08,0.08,0.08,0.03,0.01,0.03,0.03,0.03,Matches,914ab9a1
1229,Younès Kaboul,fr FRA,DF,Watford,eng Premier League,31,1986,2,2,150,1.7,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,Matches,3680d723
1230,Alexander Kačaniklić,se SWE,MFFW,Nantes,fr Ligue 1,25,1991,9,3,316,3.5,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,16,7,27,0,0.28,0.28,0,0.28,0.05,0.07,0.11,0.05,0.11,Matches,8ba3a754
1231,Gojko Kačar,rs SRB,DF,Augsburg,de Bundesliga,30,1987,6,3,228,2.5,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,2,1,2,0.39,0,0.39,0.39,0.39,0.13,0,0.13,0.13,0.13,Matches,cc58c4ea
1232,Elias Kachunga,cd COD,FWMF,Huddersfield,eng Premier League,25,1992,19,17,1329,14.8,1,1,2,1,0,0,1,0,1.9,1.9,0.6,2.6,32,24,95,0.07,0.07,0.14,0.07,0.14,0.13,0.04,0.17,0.13,0.17,Matches,5bddccc9
1233,Pavel Kadeřábek,cz CZE,FWDF,Hoffenheim,de Bundesliga,25,1992,28,24,2199,24.4,2,3,5,2,0,0,5,0,2.7,2.7,2.7,5.4,64,65,138,0.08,0.12,0.2,0.08,0.2,0.11,0.11,0.22,0.11,0.22,Matches,79c90e45
1234,Shinji Kagawa,jp JPN,MF,Dortmund,de Bundesliga,28,1989,19,12,1166,13,5,2,7,5,0,0,0,0,4.5,4.5,2.9,7.4,33,109,68,0.39,0.15,0.54,0.39,0.54,0.34,0.22,0.57,0.34,0.57,Matches,5afafbfe
1235,Sullay Kaikai,sl SLE,MF,Crystal Palace,eng Premier League,21,1995,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,fc166e49
1236,Florian Kainz,at AUT,MFFW,Werder Bremen,de Bundesliga,24,1992,30,19,1712,19,3,3,6,3,0,0,5,0,3.1,3.1,3.5,6.6,65,114,137,0.16,0.16,0.32,0.16,0.32,0.16,0.19,0.35,0.16,0.35,Matches,94c18565
1237,Dominik Kaiser,de GER,MFFW,RB Leipzig,de Bundesliga,28,1988,10,3,277,3.1,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,7,12,32,0,0,0,0,0,0.1,0.06,0.15,0.1,0.15,Matches,733fecf1
1238,Gaël Kakuta,cd COD,MFFW,Amiens,fr Ligue 1,26,1991,36,36,3083,34.3,6,6,12,6,0,1,3,0,4.2,3.4,6.1,9.5,77,151,194,0.18,0.18,0.35,0.18,0.35,0.12,0.18,0.3,0.1,0.28,Matches,5b1bf5e3
1239,Nikola Kalinić,hr CRO,FW,Milan,it Serie A,29,1988,31,20,1812,20.1,6,3,9,6,0,0,3,0,8.6,8.6,2.1,10.6,16,26,123,0.3,0.15,0.45,0.3,0.45,0.43,0.1,0.53,0.43,0.53,Matches,d4931a5a
1240,Salomon Kalou,ci CIV,FWMF,Hertha BSC,de Bundesliga,31,1985,31,27,2207,24.5,12,3,15,11,1,2,0,0,9.2,7.6,2.3,9.9,56,73,160,0.49,0.12,0.61,0.45,0.57,0.37,0.09,0.47,0.31,0.4,Matches,2042d931
1241,Daichi Kamada,jp JPN,MFFW,Eint Frankfurt,de Bundesliga,20,1996,3,2,144,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,3,7,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,Matches,15b287da
1242,François Kamano,gn GUI,FW,Bordeaux,fr Ligue 1,21,1996,35,23,2014,22.4,8,4,12,7,1,1,4,0,8.2,7.3,2.6,9.9,122,52,213,0.36,0.18,0.54,0.31,0.49,0.37,0.12,0.48,0.33,0.44,Matches,81d3318f
1243,Bingourou Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,20,1996,19,19,1691,18.8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3814120d
1244,Boubacar Kamara,fr FRA,DFMF,Marseille,fr Ligue 1,17,1999,6,5,455,5.1,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.5,4,9,4,0,0.2,0.2,0,0.2,0.04,0.05,0.09,0.04,0.09,Matches,cc77354e
1245,Marcin Kamiński,pl POL,DF,Stuttgart,de Bundesliga,25,1992,23,12,1138,12.6,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,20,53,10,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,Matches,4.64E+07
1246,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,26,1990,26,22,2019,22.4,1,3,4,1,0,0,3,0,1.5,1.5,3.9,5.4,61,152,79,0.04,0.13,0.18,0.04,0.18,0.07,0.17,0.24,0.07,0.24,Matches,b825a650
1247,Kevin Kampl,si SVN,MF,Leverkusen,de Bundesliga,26,1990,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0.07,0.07,0.14,0.07,0.14,Matches,b825a650
1248,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,24,1993,37,35,3076,34.2,30,2,32,28,2,3,5,0,24.8,22.4,2.7,25.1,58,94,261,0.88,0.06,0.94,0.82,0.88,0.72,0.08,0.8,0.66,0.73,Matches,21a66f6a
1249,Wilfried Kanga,ci CIV,FWMF,Angers,fr Ligue 1,19,1998,9,1,175,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,2,16,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches,b4c816a9
1250,Mamadou Kanouté,sn SEN,FWMF,Benevento,it Serie A,23,1993,2,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches,3d5ed93d
1251,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,26,1991,34,34,2994,33.3,1,1,2,1,0,0,3,0,0.8,0.8,2.9,3.6,88,274,45,0.03,0.03,0.06,0.03,0.06,0.02,0.09,0.11,0.02,0.11,Matches,b9fbae28
1252,Bartosz Kapustka,pl POL,FWMF,Freiburg,de Bundesliga,20,1996,7,3,235,2.6,1,0,1,1,0,0,0,0,0.2,0.2,0,0.2,6,3,19,0.38,0,0.38,0.38,0.38,0.06,0,0.06,0.06,0.06,Matches,7364c4d1
1253,Kenan Karaman,tr TUR,MFFW,Hannover 96,de Bundesliga,23,1994,22,8,855,9.5,1,0,1,1,0,0,2,0,1.9,1.9,0.6,2.6,20,31,50,0.11,0,0.11,0.11,0.11,0.2,0.07,0.27,0.2,0.27,Matches,8f0f2230
1254,Yann Karamoh,fr FRA,FWMF,Inter,it Serie A,19,1998,16,4,489,5.4,1,0,1,1,0,0,0,0,2.2,2.2,0.1,2.3,26,21,71,0.18,0,0.18,0.18,0.18,0.4,0.02,0.42,0.4,0.42,Matches,8b66d9cc
1255,Loris Karius,de GER,GK,Liverpool,eng Premier League,24,1993,19,19,1710,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,32e7ce92
1256,Orestis Karnezis,gr GRE,GK,Watford,eng Premier League,32,1985,15,14,1292,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,85b011bb
1257,Rick Karsdorp,nl NED,DF,Roma,it Serie A,22,1995,1,1,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,Matches,9f84febe
1258,Aleksandar Katai,rs SRB,MFDF,Alavés,es La Liga,26,1991,3,0,55,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,2,4,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches,d5127c3f
1259,Florian Kath,de GER,FWMF,Freiburg,de Bundesliga,22,1994,24,3,674,7.5,1,0,1,1,0,0,3,0,1.2,1.2,0.3,1.4,17,26,59,0.13,0,0.13,0.13,0.13,0.16,0.04,0.19,0.16,0.19,Matches,6a81a181
1260,Ole Käuper,de GER,MF,Werder Bremen,de Bundesliga,20,1997,1,1,73,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,Matches,e5d652c1
1261,Eiji Kawashima,jp JPN,GK,Metz,fr Ligue 1,34,1983,29,29,2569,28.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a4527d33
1262,Beram Kayal,il ISR,MF,Brighton,eng Premier League,29,1988,19,8,745,8.3,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,4,27,13,0,0,0,0,0,0.03,0.06,0.09,0.03,0.09,Matches,26679cdf
1263,Joris Kayembe,be BEL,FWMF,Nantes,fr Ligue 1,22,1994,3,1,89,1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,1,7,0,0,0,0,0,0.03,0.07,0.1,0.03,0.1,Matches,4657faba
1264,Olarenwaju Kayode,ng NGA,FWMF,Girona,es La Liga,24,1993,12,2,383,4.3,0,0,0,0,0,0,2,0,1,1,1,2,10,2,22,0,0,0,0,0,0.24,0.24,0.48,0.24,0.48,Matches,d3272fba
1265,Moise Kean,it ITA,FW,Hellas Verona,it Serie A,17,2000,19,12,1131,12.6,4,0,4,4,0,0,5,0,4.9,4.9,0.5,5.4,30,13,61,0.32,0,0.32,0.32,0.32,0.39,0.04,0.43,0.39,0.43,Matches,3d50bcdb
1266,Michael Keane,eng ENG,DF,Everton,eng Premier League,24,1993,30,29,2560,28.4,0,1,1,0,0,0,3,0,1.1,1.1,0.5,1.6,11,83,3,0,0.04,0.04,0,0.04,0.04,0.02,0.06,0.04,0.06,Matches,c5b7c315
1267,Thilo Kehrer,de GER,DF,Schalke 04,de Bundesliga,20,1996,28,27,2365,26.3,3,0,3,3,0,0,4,0,1.6,1.6,0.4,1.9,27,96,8,0.11,0,0.11,0.11,0.11,0.06,0.01,0.07,0.06,0.07,Matches,51dbeea9
1268,Cheick Keita,ml MLI,DF,Bologna,it Serie A,21,1996,3,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,Matches,82f32d55
1269,Naby Keïta,gn GUI,MF,RB Leipzig,de Bundesliga,22,1995,27,23,1962,21.8,6,5,11,6,0,0,8,2,3.7,3.7,4.2,8,103,148,74,0.28,0.23,0.5,0.28,0.5,0.17,0.2,0.37,0.17,0.37,Matches,f25c8e3a
1270,Keko,es ESP,MFFW,Málaga,es La Liga,25,1991,21,15,1209,13.4,0,2,2,0,0,0,3,0,1.3,1.3,1.8,3.1,24,29,76,0,0.15,0.15,0,0.15,0.1,0.13,0.23,0.1,0.23,Matches,1512328c
1271,Martin Kelly,eng ENG,DF,Crystal Palace,eng Premier League,27,1990,15,12,1195,13.3,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.6,5,16,3,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches,d7492450
1272,Marc-Oliver Kempf,de GER,DF,Freiburg,de Bundesliga,22,1995,12,11,901,10,0,1,1,0,0,0,1,0,0.5,0.5,1,1.4,4,35,2,0,0.1,0.1,0,0.1,0.05,0.1,0.14,0.05,0.14,Matches,815c314f
1273,Kenedy,br BRA,MFDF,Newcastle Utd,eng Premier League,21,1996,13,13,1023,11.4,2,2,4,2,0,0,1,0,2.4,2.4,1.7,4.2,30,21,55,0.18,0.18,0.35,0.18,0.35,0.21,0.15,0.37,0.21,0.37,Matches,5eebbfdf
1274,Jonjoe Kenny,eng ENG,DF,Everton,eng Premier League,20,1997,19,17,1590,17.7,0,1,1,0,0,0,2,0,0.1,0.1,1.5,1.6,16,48,51,0,0.06,0.06,0,0.06,0.01,0.08,0.09,0.01,0.09,Matches,099e666f
1275,Ryan Kent,eng ENG,FWMF,Freiburg,de Bundesliga,20,1996,6,1,245,2.7,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,9,6,20,0,0,0,0,0,0.31,0.02,0.33,0.31,0.33,Matches,316de854
1276,Christophe Kerbrat,fr FRA,DF,Guingamp,fr Ligue 1,30,1986,37,37,3320,36.9,1,0,1,1,0,0,4,0,0.4,0.4,0.1,0.5,12,136,1,0.03,0,0.03,0.03,0.03,0.01,0,0.01,0.01,0.01,Matches,0515a4cb
1277,Franck Kessié,ci CIV,MF,Milan,it Serie A,20,1996,37,37,3264,36.3,5,1,6,2,3,4,9,0,7.5,4.4,3.8,8.2,96,209,212,0.14,0.03,0.17,0.06,0.08,0.21,0.11,0.31,0.12,0.23,Matches,05e19d6a
1278,Billy Ketkeophomphone,la LAO,MF,Angers,fr Ligue 1,27,1990,13,5,437,4.9,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,13,18,31,0,0,0,0,0,0.06,0.09,0.15,0.06,0.15,Matches,06f46837
