,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,28,25,2184,24.3,5,1,6,5,0,0,7,0,3.1,3.1,2.1,5.2,46,92,86,0.21,0.04,0.25,0.21,0.25,0.13,0.09,0.21,0.13,0.21,Matches,5f09991f
2,Rolando Aarons,eng ENG,MFFW,Newcastle Utd,eng Premier League,21,1995,4,1,139,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,7,3,4,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,c5942695
3,Rolando Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,11,6,517,5.7,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,9,17,31,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,Matches,c5942695
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,17,11,1057,11.7,1,0,1,1,0,0,3,0,0.2,0.2,0.5,0.7,20,81,65,0.09,0,0.09,0.09,0.09,0.01,0.04,0.06,0.01,0.06,Matches,1c529186
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,8,6,499,5.5,0,0,0,0,0,0,3,0,0.1,0.1,0,0.1,2,12,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,2f798b41
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,1,1,77,0.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,1,3,0,0,0,0,0,0,0.08,0.08,0,0.08,Matches,bbe88396
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,19,14,1176,13.1,0,1,1,0,0,0,2,0,1,1,0.3,1.3,20,49,14,0,0.08,0.08,0,0.08,0.07,0.02,0.1,0.07,0.1,Matches,a4c3f7af
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,27,27,2302,25.6,0,2,2,0,0,0,3,0,0.4,0.4,0.7,1.1,17,103,7,0,0.08,0.08,0,0.08,0.01,0.03,0.04,0.01,0.04,Matches,565bf0da
9,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,31,15,1726,19.2,5,1,6,5,0,0,0,0,6.8,6.8,1.6,8.4,19,20,104,0.26,0.05,0.31,0.26,0.31,0.35,0.08,0.44,0.35,0.44,Matches,f586779e
10,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,12,11,850,9.4,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.7,8,38,18,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07,Matches,1c08a3c8
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,38,3420,38,0,0,0,0,0,0,4,0,1,1,0.7,1.7,35,141,14,0,0,0,0,0,0.03,0.02,0.04,0.03,0.04,Matches,b96b595c
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25,1992,22,9,951,10.6,1,0,1,1,0,0,4,2,0.4,0.4,0.6,1,24,60,24,0.09,0,0.09,0.09,0.09,0.04,0.06,0.1,0.04,0.1,Matches,d7403bd5
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,31,1985,11,5,411,4.6,0,0,0,0,0,1,2,1,1.6,0.9,1.2,2.1,6,30,9,0,0,0,0,0,0.36,0.27,0.63,0.19,0.46,Matches,aff418dc
14,Antonio Adán,es ESP,GK,Betis,es La Liga,30,1987,30,30,2700,30,0,2,2,0,0,0,4,0,0,0,0.7,0.7,0,0,0,0,0.07,0.07,0,0.07,0,0.02,0.02,0,0.02,Matches,65d62814
15,Aday,es ESP,DF,Girona,es La Liga,29,1987,31,20,1835,20.4,2,0,2,1,1,2,10,0,2.8,1.3,1.6,2.9,82,61,156,0.1,0,0.1,0.05,0.05,0.14,0.08,0.22,0.06,0.14,Matches,5890cef1
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,34,32,2921,32.5,0,1,1,0,0,0,9,0,0.6,0.6,0.2,0.9,6,51,1,0,0.03,0.03,0,0.03,0.02,0.01,0.03,0.02,0.03,Matches,16714a62
17,Claud Adjapong,it ITA,DFFW,Sassuolo,it Serie A,19,1998,16,14,1220,13.6,0,0,0,0,0,0,5,1,0.8,0.8,1.1,1.9,31,42,54,0,0,0,0,0,0.06,0.08,0.14,0.06,0.14,Matches,ce5b170a
18,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,14,1260,14,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,f71890f5
19,Yacine Adli,fr FRA,FW,Paris S-G,fr Ligue 1,17,2000,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches,26777636
20,Ali Adnan Kadhim,iq IRQ,DFFW,Udinese,it Serie A,23,1993,23,18,1674,18.6,0,1,1,0,0,0,4,0,0.5,0.5,1.7,2.2,25,58,56,0,0.05,0.05,0,0.05,0.03,0.09,0.12,0.03,0.12,Matches,6050480
21,Adrián,es ESP,GK,West Ham,eng Premier League,30,1987,19,19,1710,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f76e6b4e
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,33,21,2152,23.9,9,1,10,6,3,5,5,0,11.1,7.6,1.5,9,27,45,150,0.38,0.04,0.42,0.25,0.29,0.47,0.06,0.53,0.32,0.38,Matches,2.93E+06
23,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,6,1,166,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,Matches,9a8c6673
24,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,24,1993,17,5,611,6.8,0,0,0,0,0,0,0,0,1.6,1.6,0.1,1.8,12,9,37,0,0,0,0,0,0.27,0.02,0.3,0.27,0.3,Matches,b63f4077
25,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,21,20,1828,20.3,0,4,4,0,0,0,4,0,0.1,0.1,1.5,1.6,24,48,54,0,0.2,0.2,0,0.2,0,0.08,0.08,0,0.08,Matches,355c883a
26,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,30,1987,11,2,232,2.6,0,0,0,0,0,0,0,0,1.2,1.2,0,1.2,1,5,8,0,0,0,0,0,0.45,0,0.45,0.45,0.45,Matches,c84c1afc
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,29,1988,25,22,1963,21.8,21,6,27,17,4,4,2,0,16.2,13.1,5.6,18.7,89,49,214,0.96,0.28,1.24,0.78,1.05,0.75,0.26,1,0.6,0.86,Matches,4d034881
28,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,24,1993,31,27,2459,27.3,0,2,2,0,0,0,2,0,0.7,0.7,3.7,4.4,97,130,160,0,0.07,0.07,0,0.07,0.03,0.13,0.16,0.03,0.16,Matches,3dd738a1
29,Matías Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,15,14,1153,12.8,0,0,0,0,0,0,3,0,0.6,0.6,0.6,1.2,23,57,49,0,0,0,0,0,0.05,0.05,0.1,0.05,0.1,Matches,8617e3d9
30,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,35,35,3006,33.4,5,0,5,5,0,0,4,0,2.2,2.2,1,3.3,32,131,22,0.15,0,0.15,0.15,0.15,0.07,0.03,0.1,0.07,0.1,Matches,48b28bfd
31,Ailton,br BRA,DFMF,Stuttgart,de Bundesliga,22,1995,5,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0.1,0.2,2,4,3,0,0,0,0,0,0.03,0.11,0.14,0.03,0.14,Matches,74ced675
32,Youssef Aït Bennasser,ma MAR,MF,Caen,fr Ligue 1,21,1996,27,25,2047,22.7,0,0,0,0,0,0,4,0,0.7,0.7,0.7,1.5,37,178,27,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,Matches,c46fa34c
33,Arlind Ajeti,al ALB,DF,Crotone,it Serie A,23,1993,21,15,1271,14.1,0,1,1,0,0,0,7,0,0.9,0.9,1,1.9,2,20,0,0,0.07,0.07,0,0.07,0.07,0.07,0.14,0.07,0.14,Matches,f9714604
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,11,10,904,10,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,15,47,7,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches,89ac64a6
35,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,22,1995,38,37,3353,37.3,2,3,5,2,0,0,5,0,1.4,1.4,1.9,3.4,14,96,10,0.05,0.08,0.13,0.05,0.13,0.04,0.05,0.09,0.04,0.09,Matches,eaeca114
36,Ager Aketxe,es ESP,MF,Athletic Club,es La Liga,23,1993,3,0,37,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,6,3,0,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches,c5eaff5c
37,Chadrac Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,22,1995,22,13,1102,12.2,5,0,5,5,0,1,2,0,4.7,4,1,4.9,27,35,75,0.41,0,0.41,0.41,0.41,0.39,0.08,0.47,0.32,0.4,Matches,debc2f28
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,22,17,1690,18.8,0,1,1,0,0,0,1,0,0.2,0.2,1.4,1.6,23,85,8,0,0.05,0.05,0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,6ec6fde0
39,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,23,17,1551,17.2,2,2,4,2,0,0,1,0,1.3,1.3,2.3,3.5,53,110,178,0.12,0.12,0.23,0.12,0.23,0.07,0.13,0.2,0.07,0.2,Matches,05439de2
