,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
554,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,34,1984,34,34,3055,33.9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,75751c99
555,Mickaël Cuisance,fr FRA,MF,M'Gladbach,de Bundesliga,18,1999,11,1,279,3.1,0,1,1,0,0,0,3,0,0.4,0.4,0.3,0.7,8,20,19,0,0.32,0.32,0,0.32,0.14,0.09,0.23,0.14,0.23,Matches,5722eced
556,Matheus Cunha,br BRA,FWMF,RB Leipzig,de Bundesliga,19,1999,25,9,853,9.5,2,0,2,2,0,0,1,0,4.2,4.2,0.7,4.9,21,30,75,0.21,0,0.21,0.21,0.21,0.44,0.08,0.52,0.44,0.52,Matches,dc62b55d
557,Greg Cunningham,ie IRL,DF,Cardiff City,eng Premier League,27,1991,7,7,630,7,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,4,24,9,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches,dc10b26c
558,Patrick Cutrone,it ITA,FW,Milan,it Serie A,20,1998,34,12,1457,16.2,3,2,5,3,0,0,2,0,3,3,1.6,4.5,26,13,142,0.19,0.12,0.31,0.19,0.31,0.18,0.1,0.28,0.18,0.28,Matches,a4fe8cda
559,Wylan Cyprien,fr FRA,MF,Nice,fr Ligue 1,23,1995,29,27,2360,26.2,4,1,5,3,1,2,2,1,5.2,3.6,5.2,8.8,29,197,44,0.15,0.04,0.19,0.11,0.15,0.2,0.2,0.39,0.14,0.33,Matches,3e092724
560,Marco D'Alessandro,it ITA,DF,Udinese,it Serie A,27,1991,24,16,1495,16.6,0,2,2,0,0,0,3,0,1.1,1,1.6,2.6,74,54,78,0,0.12,0.12,0,0.12,0.06,0.1,0.16,0.06,0.16,Matches,060606ec
561,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,29,1988,30,29,2579,28.7,2,5,7,2,0,0,6,0,2.6,2.6,5,7.6,57,154,148,0.07,0.17,0.24,0.07,0.24,0.09,0.17,0.26,0.09,0.26,Matches,44eb9093
562,Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,30,1988,33,32,2874,31.9,2,1,3,2,0,0,4,0,2.1,2.1,0.2,2.3,21,74,5,0.06,0.03,0.09,0.06,0.09,0.07,0.01,0.07,0.07,0.07,Matches,1ec7e1c5
563,Kouadio-Yves Dabila,ci CIV,DF,Lille,fr Ligue 1,21,1997,12,8,782,8.7,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,1,9,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,3067cbef
564,Abdoulaye Dabo,fr FRA,FW,Nantes,fr Ligue 1,17,2001,2,2,116,1.3,0,0,0,0,0,0,0,0,0,0,0.3,0.3,2,6,5,0,0,0,0,0,0,0.26,0.26,0,0.26,Matches,797f6070
565,Bryan Dabo,bf BFA,MFDF,Fiorentina,it Serie A,26,1992,23,6,831,9.2,1,1,2,1,0,0,4,0,1,1,0.6,1.6,28,49,36,0.11,0.11,0.22,0.11,0.22,0.1,0.07,0.17,0.1,0.17,Matches,c53083ad
566,Christoph Daferner,de GER,FW,Freiburg,de Bundesliga,20,1998,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e5be34dd
567,Colin Dagba,fr FRA,DFMF,Paris S-G,fr Ligue 1,19,1998,17,9,918,10.2,0,2,2,0,0,0,2,0,0.1,0.1,1.9,2,22,25,80,0,0.2,0.2,0,0.2,0.01,0.19,0.2,0.01,0.2,Matches,29c02c9f
568,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,22,1996,14,7,697,7.7,1,0,1,1,0,0,2,0,1.2,1.2,1,2.2,20,53,15,0.13,0,0.13,0.13,0.13,0.16,0.12,0.28,0.16,0.28,Matches,db4ed67b
569,Leon Dajaku,de GER,DFMF,Stuttgart,de Bundesliga,17,2001,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,aeaf1bc1
570,Felipe dal Belo,br BRA,DF,SPAL,it Serie A,34,1984,30,27,2361,26.2,3,2,5,3,0,0,13,0,2.6,2.6,1.1,3.7,15,67,6,0.11,0.08,0.19,0.11,0.19,0.1,0.04,0.14,0.1,0.14,Matches,8cea6319
571,Nicola Dalmonte,it ITA,FWMF,Genoa,it Serie A,20,1997,3,0,44,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,2,0,4,0,0,0,0,0,0.33,0.11,0.43,0.33,0.43,Matches,59a3efba
572,Diogo Dalot,pt POR,DFFW,Manchester Utd,eng Premier League,19,1999,16,12,1013,11.3,0,2,2,0,0,0,3,0,0.7,0.7,2.3,3,42,31,82,0,0.18,0.18,0,0.18,0.06,0.2,0.27,0.06,0.27,Matches,d9565625
573,Matty Daly,eng ENG,MF,Huddersfield,eng Premier League,17,2001,2,0,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,Matches,03e48abb
574,Vitalie Damașcan,md MDA,MF,Torino,it Serie A,19,1999,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,54e0c0cc
575,Loïc Damour,fr FRA,MF,Cardiff City,eng Premier League,27,1991,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches,074d8166
576,Charlie Daniels,eng ENG,DF,Bournemouth,eng Premier League,31,1986,21,17,1585,17.6,1,0,1,1,0,0,4,0,0.4,0.4,0.6,1,40,83,82,0.06,0,0.06,0.06,0.06,0.03,0.03,0.06,0.03,0.06,Matches,9d107085
577,Danilo,br BRA,DF,Manchester City,eng Premier League,27,1991,11,9,807,9,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,20,77,33,0.11,0,0.11,0.11,0.11,0.05,0.02,0.07,0.05,0.07,Matches,94b2001f
578,Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,31,1987,10,7,663,7.4,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.9,3,11,0,0,0.14,0.14,0,0.14,0.03,0.09,0.13,0.03,0.13,Matches,52105203
579,Kevin Danso,at AUT,DF,Augsburg,de Bundesliga,19,1998,18,13,1247,13.9,1,1,2,1,0,0,3,0,0.5,0.5,0.2,0.7,6,36,2,0.07,0.07,0.14,0.07,0.14,0.04,0.01,0.05,0.04,0.05,Matches,6e33125f
580,Dante,br BRA,DF,Nice,fr Ligue 1,34,1983,36,36,3226,35.8,1,1,2,1,0,0,11,0,1.8,1.8,0.3,2,10,81,2,0.03,0.03,0.06,0.03,0.06,0.05,0.01,0.06,0.05,0.06,Matches,fd2bc67d
581,Palkó Dárdai,hu HUN,FWMF,Hertha BSC,de Bundesliga,19,1999,7,1,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,3,12,0,0,0,0,0,0.04,0.09,0.13,0.04,0.13,Matches,db7161ed
582,Sergi Darder,es ESP,MF,Espanyol,es La Liga,24,1993,34,32,2709,30.1,4,2,6,4,0,0,8,1,2.9,2.9,3.8,6.8,53,169,96,0.13,0.07,0.2,0.13,0.2,0.1,0.13,0.23,0.1,0.23,Matches,070a3904
583,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,27,1990,10,3,376,4.2,0,1,1,0,0,0,1,0,1,1,0.8,1.7,7,34,12,0,0.24,0.24,0,0.24,0.23,0.18,0.42,0.23,0.42,Matches,3eb0f2df
584,Matteo Darmian,it ITA,DF,Manchester Utd,eng Premier League,28,1989,6,5,443,4.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,7,20,18,0,0,0,0,0,0.01,0.02,0.02,0.01,0.02,Matches,96e0490d
585,Alphonso Davies,ca CAN,MFFW,Bayern Munich,de Bundesliga,17,2000,6,0,80,0.9,1,0,1,1,0,0,1,0,0.1,0.1,0,0.1,1,1,7,1.13,0,1.13,1.13,1.13,0.15,0,0.15,0.15,0.15,Matches,d781d855
586,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,25,1993,27,20,1844,20.5,0,0,0,0,0,0,2,0,0.5,0.5,2.1,2.6,44,101,117,0,0,0,0,0,0.03,0.1,0.13,0.03,0.13,Matches,44781702
587,Tom Davies,eng ENG,MF,Everton,eng Premier League,20,1998,16,10,980,10.9,0,0,0,0,0,0,3,0,0.3,0.3,0.5,0.8,11,55,20,0,0,0,0,0,0.03,0.05,0.07,0.03,0.07,Matches,9228b07c
588,Steven Davis,nir NIR,MF,Southampton,eng Premier League,33,1985,3,1,98,1.1,0,1,1,0,0,0,0,0,0,0,0.5,0.5,1,7,1,0,0.92,0.92,0,0.92,0,0.44,0.44,0,0.44,Matches,cf15bbb1
589,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,27,1991,19,11,975,10.8,2,2,4,2,0,0,2,0,1.4,1.4,5.7,7,50,109,88,0.18,0.18,0.37,0.18,0.37,0.13,0.52,0.65,0.13,0.65,Matches,e46012d4
590,Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,31,1987,16,13,1173,13,1,0,1,1,0,0,1,1,0.9,0.9,0.1,1,9,20,3,0.08,0,0.08,0.08,0.08,0.07,0.01,0.08,0.07,0.08,Matches,952a03fe
591,Sebastien De Maio,fr FRA,DF,Bologna,it Serie A,31,1987,6,6,491,5.5,0,1,1,0,0,0,3,0,0.2,0.2,0,0.3,10,17,1,0,0.18,0.18,0,0.18,0.05,0.01,0.05,0.05,0.05,Matches,952a03fe
592,Rodrigo De Paul,ar ARG,MFFW,Udinese,it Serie A,24,1994,36,36,3189,35.4,9,9,18,6,3,6,7,0,9.7,5,8.1,13.1,186,247,132,0.25,0.25,0.51,0.17,0.42,0.27,0.23,0.5,0.14,0.37,Matches,162efffd
593,Daniele De Rossi,it ITA,MF,Roma,it Serie A,35,1983,18,15,1270,14.1,1,1,2,1,0,0,3,0,1.5,1.5,1.3,2.8,16,115,9,0.07,0.07,0.14,0.07,0.14,0.11,0.1,0.2,0.11,0.2,Matches,532d2690
594,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,25,1992,22,19,1743,19.4,0,1,1,0,0,0,2,0,0.3,0.3,1.1,1.4,40,86,91,0,0.05,0.05,0,0.05,0.01,0.06,0.07,0.01,0.07,Matches,ae4e2852
595,Lorenzo De Silvestri,it ITA,DF,Torino,it Serie A,30,1988,32,30,2415,26.8,2,4,6,2,0,0,3,0,2.8,2.8,2.7,5.6,59,102,139,0.07,0.15,0.22,0.07,0.22,0.11,0.1,0.21,0.11,0.21,Matches,e74f0e59
596,Lucas Deaux,fr FRA,MF,Guingamp,fr Ligue 1,29,1988,18,17,1188,13.2,3,1,4,3,0,0,4,0,1.9,1.9,1.5,3.4,19,58,39,0.23,0.08,0.3,0.23,0.3,0.14,0.11,0.26,0.14,0.26,Matches,44f8c299
597,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,33,1985,24,23,1941,21.6,4,3,7,4,0,0,5,1,2.3,2.3,2.3,4.6,31,79,105,0.19,0.14,0.32,0.19,0.32,0.1,0.11,0.21,0.1,0.21,Matches,92232aad
598,Troy Deeney,eng ENG,FW,Watford,eng Premier League,30,1988,32,28,2545,28.3,9,5,14,8,1,1,4,1,9.5,8.7,4.6,13.4,23,87,161,0.32,0.18,0.5,0.28,0.46,0.34,0.16,0.5,0.31,0.47,Matches,82e34b69
599,Jermain Defoe,eng ENG,FW,Bournemouth,eng Premier League,35,1982,4,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.42,0,0.42,0.42,0.42,Matches,f1e8372d
600,Steven Defour,be BEL,MF,Burnley,eng Premier League,30,1988,6,6,448,5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,6,23,3,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,73489527
601,Grégoire Defrel,mq MTQ,FWMF,Sampdoria,it Serie A,27,1991,36,26,2339,26,11,3,14,11,0,0,2,0,8.1,8.1,2.6,10.7,44,51,246,0.42,0.12,0.54,0.42,0.54,0.31,0.1,0.41,0.31,0.41,Matches,854ee61a
602,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,22,1995,10,5,450,5,0,0,0,0,0,0,2,0,0.8,0.8,0,0.8,6,11,19,0,0,0,0,0,0.16,0.01,0.17,0.16,0.17,Matches,7f267d66
603,Alessandro Deiola,it ITA,MFFW,Parma,it Serie A,22,1995,10,5,545,6.1,0,1,1,0,0,0,3,0,0.2,0.2,0.3,0.5,7,10,20,0,0.17,0.17,0,0.17,0.04,0.05,0.09,0.04,0.09,Matches,7f267d66
604,Romain Del Castillo,fr FRA,MFFW,Rennes,fr Ligue 1,22,1996,29,15,1343,14.9,0,3,3,0,0,0,1,0,0.8,0.8,3,3.8,69,49,151,0,0.2,0.2,0,0.2,0.05,0.2,0.26,0.05,0.26,Matches,0be95d34
605,Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,26,1991,30,27,2283,25.4,3,5,8,3,0,0,7,0,2.4,2.4,3.2,5.6,21,126,32,0.12,0.2,0.32,0.12,0.32,0.09,0.13,0.22,0.09,0.22,Matches,fe641c1a
606,Moisés Delgado,es ESP,DF,Valladolid,es La Liga,24,1994,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0.1,0.2,5,7,10,0,0,0,0,0,0.02,0.04,0.05,0.02,0.05,Matches,248c409d
607,Cristian Dell'Orco,it ITA,DF,Empoli,it Serie A,24,1994,12,12,1035,11.5,1,0,1,1,0,0,1,0,0.8,0.8,0.5,1.3,10,39,7,0.09,0,0.09,0.09,0.09,0.07,0.04,0.11,0.07,0.11,Matches,b0243215
608,Cristian Dell'Orco,it ITA,DF,Sassuolo,it Serie A,24,1994,3,1,110,1.2,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.3,4,6,8,0,0.82,0.82,0,0.82,0.05,0.22,0.27,0.05,0.27,Matches,b0243215
609,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,26,1991,36,36,3115,34.6,14,7,21,11,3,3,4,0,15.2,12.8,8.3,21.1,79,102,345,0.4,0.2,0.61,0.32,0.52,0.44,0.24,0.68,0.37,0.61,Matches,d33c706e
610,Fabian Delph,eng ENG,DF,Manchester City,eng Premier League,28,1989,11,8,725,8.1,0,1,1,0,0,0,1,1,0.1,0.1,0.3,0.4,20,59,23,0,0.12,0.12,0,0.12,0.01,0.04,0.06,0.01,0.06,Matches,111c3236
611,Mousa Dembélé,be BEL,MF,Tottenham,eng Premier League,31,1987,10,7,515,5.7,0,0,0,0,0,0,1,0,0,0,0,0,7,16,9,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,f7ee69fb
612,Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,22,1996,33,21,2016,22.4,15,4,19,14,1,2,1,0,17.1,15.5,2.7,18.2,44,24,164,0.67,0.18,0.85,0.62,0.8,0.76,0.12,0.88,0.69,0.81,Matches,e7986081
613,Ousmane Dembélé,fr FRA,FWMF,Barcelona,es La Liga,21,1997,29,20,1661,18.5,8,5,13,8,0,0,1,0,3.8,3.8,4.9,8.7,113,80,232,0.43,0.27,0.7,0.43,0.7,0.2,0.27,0.47,0.2,0.47,Matches,b19db005
614,Jessy Deminguet,fr FRA,MF,Caen,fr Ligue 1,20,1998,20,15,1269,14.1,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,30,38,17,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches,a6138e4a
615,Merih Demiral,tr TUR,DF,Sassuolo,it Serie A,20,1998,14,14,1260,14,2,0,2,2,0,0,3,0,0.8,0.8,0.2,1,3,53,3,0.14,0,0.14,0.14,0.14,0.05,0.02,0.07,0.05,0.07,Matches,e3cceee6
616,Kerem Demirbay,de GER,MF,Hoffenheim,de Bundesliga,25,1993,26,24,2017,22.4,4,9,13,4,0,0,6,0,4.5,4.5,7.4,11.8,82,181,66,0.18,0.4,0.58,0.18,0.58,0.2,0.33,0.53,0.2,0.53,Matches,54b4dc4e
617,Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,26,1991,26,24,2055,22.8,0,2,2,0,0,0,4,0,0.4,0.4,2.7,3.1,52,182,38,0,0.09,0.09,0,0.09,0.02,0.12,0.14,0.02,0.14,Matches,dc3fa3b5
618,Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,23,1995,31,31,2754,30.6,2,0,2,2,0,0,2,0,1.7,1.7,0.4,2.1,38,136,3,0.07,0,0.07,0.07,0.07,0.06,0.01,0.07,0.06,0.07,Matches,47af88b8
619,Leander Dendoncker,be BEL,MF,Wolves,eng Premier League,23,1995,19,17,1467,16.3,2,0,2,2,0,0,1,0,3.4,3.4,1.2,4.7,15,44,31,0.12,0,0.12,0.12,0.12,0.21,0.07,0.29,0.21,0.29,Matches,5a7301ae
620,Fabio Depaoli,it ITA,DF,Chievo,it Serie A,21,1997,33,27,2468,27.4,0,4,4,0,0,0,12,2,1.5,1.5,3.7,5.3,63,97,110,0,0.15,0.15,0,0.15,0.06,0.14,0.19,0.06,0.19,Matches,d97f2e8d
621,Laurent Depoitre,be BEL,FW,Huddersfield,eng Premier League,29,1988,23,10,1068,11.9,0,1,1,0,0,0,1,0,2.5,2.5,0.7,3.2,10,20,72,0,0.08,0.08,0,0.08,0.21,0.06,0.27,0.21,0.27,Matches,aa5859cb
622,Clément Depres,fr FRA,FW,Nîmes,fr Ligue 1,23,1994,17,4,441,4.9,4,0,4,4,0,0,1,0,2.3,2.3,0.2,2.4,9,13,31,0.82,0,0.82,0.82,0.82,0.46,0.03,0.5,0.46,0.5,Matches,e53ab10b
623,Kiril Despodov,bg BUL,FWMF,Cagliari,it Serie A,21,1996,4,0,105,1.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,Matches,13c8e5f6
624,Daniele Dessena,it ITA,MF,Cagliari,it Serie A,31,1987,11,3,352,3.9,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.5,7,14,11,0,0,0,0,0,0.12,0.01,0.13,0.12,0.13,Matches,02b2937c
625,Mattia Destro,it ITA,FW,Bologna,it Serie A,27,1991,17,5,493,5.5,4,1,5,4,0,0,3,0,2.4,2.4,0.6,3,5,5,27,0.73,0.18,0.91,0.73,0.91,0.43,0.12,0.55,0.43,0.55,Matches,d7d32194
626,Gerard Deulofeu,es ESP,FWMF,Watford,eng Premier League,24,1994,30,26,2066,23,10,5,15,10,0,0,3,0,8,8,4.1,12.1,100,67,193,0.44,0.22,0.65,0.44,0.65,0.35,0.18,0.53,0.35,0.53,Matches,39583cfd
627,Jacopo Dezi,it ITA,MF,Parma,it Serie A,26,1992,1,1,90,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,6,3,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches,e921b9db
628,Federico Di Francesco,it ITA,FWMF,Sassuolo,it Serie A,24,1994,19,14,1074,11.9,2,2,4,2,0,0,2,0,3.2,3.2,1.1,4.4,38,29,106,0.17,0.17,0.34,0.17,0.34,0.27,0.09,0.37,0.27,0.37,Matches,1fca9171
629,Antonio Di Gaudio,it ITA,FW,Parma,it Serie A,28,1989,12,9,699,7.8,0,1,1,0,0,0,0,0,1.4,1.4,0.3,1.7,26,8,45,0,0.13,0.13,0,0.13,0.18,0.04,0.21,0.18,0.21,Matches,434b8c73
630,Giovanni Di Lorenzo,it ITA,DFFW,Empoli,it Serie A,24,1993,37,37,3330,37,5,3,8,5,0,0,8,0,3.6,3.3,5.3,8.6,83,241,219,0.14,0.08,0.22,0.14,0.22,0.1,0.14,0.24,0.09,0.23,Matches,230a2fac
631,Ángel Di María,ar ARG,FWMF,Paris S-G,fr Ligue 1,30,1988,30,28,2324,25.8,12,11,23,12,0,0,2,0,8.7,8.7,7.8,16.5,98,151,277,0.46,0.43,0.89,0.46,0.89,0.34,0.3,0.64,0.34,0.64,Matches,19cda00b
632,Franco Di Santo,ar ARG,FW,Rayo Vallecano,es La Liga,29,1989,6,1,172,1.9,0,0,0,0,0,0,1,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,Matches,549c6ba7
633,Franco Di Santo,ar ARG,MFFW,Schalke 04,de Bundesliga,29,1989,4,3,245,2.7,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,7,2,19,0,0,0,0,0,0.08,0.17,0.25,0.08,0.25,Matches,549c6ba7
634,Boulaye Dia,sn SEN,FW,Reims,fr Ligue 1,21,1996,18,8,747,8.3,3,0,3,3,0,0,2,0,3.7,3.7,0.8,4.5,20,12,63,0.36,0,0.36,0.36,0.36,0.44,0.09,0.54,0.44,0.54,Matches,244bc2c8
635,Fousseni Diabaté,ml MLI,FW,Leicester City,eng Premier League,22,1995,1,1,54,0.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,5,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches,d07e3b41
636,Moussa Diaby,fr FRA,MFDF,Paris S-G,fr Ligue 1,19,1999,25,10,1141,12.7,2,6,8,2,0,0,1,0,2.2,2.2,3.9,6.2,60,37,148,0.16,0.47,0.63,0.16,0.63,0.18,0.31,0.49,0.18,0.49,Matches,aeed5c06
637,Adama Diakhaby,fr FRA,FWMF,Huddersfield,eng Premier League,22,1996,12,6,552,6.1,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.1,22,5,57,0,0,0,0,0,0.11,0.07,0.18,0.11,0.18,Matches,65585e3a
638,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,21,1996,22,16,1580,17.6,2,0,2,2,0,0,9,0,1.3,1.3,0,1.3,7,48,0,0.11,0,0.11,0.11,0.11,0.07,0,0.07,0.07,0.07,Matches,d2110326
639,Bafodé Diakité,fr FRA,DF,Toulouse,fr Ligue 1,17,2001,9,7,633,7,1,0,1,1,0,0,2,0,0.1,0.1,0.1,0.1,8,24,24,0.14,0,0.14,0.14,0.14,0.01,0.01,0.02,0.01,0.02,Matches,1bfb6fef
640,Abdou Diallo,sn SEN,DF,Dortmund,de Bundesliga,22,1996,28,27,2379,26.4,1,1,2,1,0,0,1,1,1.6,1.6,0.6,2.2,46,125,62,0.04,0.04,0.08,0.04,0.08,0.06,0.02,0.08,0.06,0.08,Matches,fc62f087
641,Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,26,1992,6,6,495,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,26383ea5
642,Mustapha Diallo,sn SEN,MF,Nîmes,fr Ligue 1,32,1986,7,6,455,5.1,0,1,1,0,0,0,5,0,0.4,0.4,0.1,0.4,0,14,2,0,0.2,0.2,0,0.2,0.07,0.02,0.09,0.07,0.09,Matches,6c6ecdd4
643,Mohamed Diamé,sn SEN,MF,Newcastle Utd,eng Premier League,31,1987,29,24,2166,24.1,0,0,0,0,0,0,3,0,1,1,0.1,1.2,17,58,15,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches,b7d082af
644,Grady Diangana,eng ENG,MFFW,West Ham,eng Premier League,20,1998,17,6,609,6.8,0,1,1,0,0,0,0,0,0.5,0.5,1.2,1.7,20,21,72,0,0.15,0.15,0,0.15,0.08,0.18,0.25,0.08,0.25,Matches,f522d7ec
645,Lassana Diarra,fr FRA,MF,Paris S-G,fr Ligue 1,33,1985,3,2,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,79584585
646,Amadou Diawara,gn GUI,MF,Napoli,it Serie A,21,1997,13,8,661,7.3,0,0,0,0,0,0,4,0,0.4,0.4,0.2,0.6,3,40,6,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08,Matches,bf309d24
647,Brahim Díaz,es ESP,FW,Real Madrid,es La Liga,18,1999,9,5,376,4.2,1,1,2,1,0,0,0,0,1.2,1.2,1.5,2.7,17,12,49,0.24,0.24,0.48,0.24,0.48,0.29,0.36,0.64,0.29,0.64,Matches,407feb71
648,Javier Díaz,es ESP,GK,Sevilla,es La Liga,21,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,17a1299d
649,Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,28,1989,34,32,2942,32.7,1,1,2,1,0,0,5,1,1.3,1.3,0.5,1.8,37,94,68,0.03,0.03,0.06,0.03,0.06,0.04,0.01,0.05,0.04,0.05,Matches,247accfd
650,Lorenzo Dickmann,it ITA,DFMF,SPAL,it Serie A,21,1996,6,2,175,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,2,3,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches,12851227
651,Daniel Didavi,de GER,MFFW,Stuttgart,de Bundesliga,28,1990,20,8,956,10.6,2,2,4,2,0,0,0,0,1.9,1.9,2.7,4.6,29,45,70,0.19,0.19,0.38,0.19,0.38,0.18,0.26,0.43,0.18,0.43,Matches,d3096421
652,Étienne Didot,fr FRA,MF,Guingamp,fr Ligue 1,35,1983,31,23,2105,23.4,1,1,2,1,0,0,4,0,0.8,0.8,1.9,2.7,15,150,35,0.04,0.04,0.09,0.04,0.09,0.03,0.08,0.12,0.03,0.12,Matches,d2aa8ac0
653,Adrián Diéguez,es ESP,DF,Huesca,es La Liga,22,1996,9,8,749,8.3,0,0,0,0,0,0,3,0,0.1,0.1,0,0.2,2,8,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,70438d35
654,Eric Dier,eng ENG,MFDF,Tottenham,eng Premier League,24,1994,20,18,1506,16.7,3,0,3,3,0,0,4,0,1,1,1,2,18,95,7,0.18,0,0.18,0.18,0.18,0.06,0.06,0.12,0.06,0.12,Matches,ac861941
655,Tim Dierßen,de GER,MF,Hannover 96,de Bundesliga,22,1996,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,96f8ab0c
656,Lucas Digne,fr FRA,DF,Everton,eng Premier League,25,1993,35,33,2965,32.9,4,4,8,4,0,0,5,1,1.3,1.3,7.1,8.4,82,167,221,0.12,0.12,0.24,0.12,0.24,0.04,0.21,0.25,0.04,0.25,Matches,1b84dbe1
657,Mitchell Dijks,nl NED,DF,Bologna,it Serie A,25,1993,25,23,2023,22.5,1,0,1,1,0,0,5,1,0.4,0.4,1,1.4,96,98,90,0.04,0,0.04,0.04,0.04,0.02,0.04,0.06,0.02,0.06,Matches,0a3065c8
658,Javairô Dilrosun,nl NED,FWMF,Hertha BSC,de Bundesliga,20,1998,17,7,898,10,2,3,5,2,0,0,2,0,0.5,0.5,1.9,2.4,36,22,64,0.2,0.3,0.5,0.2,0.5,0.05,0.2,0.24,0.05,0.24,Matches,34a0f5ff
659,Federico Dimarco,it ITA,DFMF,Parma,it Serie A,20,1997,13,10,892,9.9,1,0,1,1,0,0,4,0,0.5,0.5,1.1,1.5,21,38,33,0.1,0,0.1,0.1,0.1,0.05,0.11,0.15,0.05,0.15,Matches,970b8574
